,School,CourseID,Descriptions,FoundTerms
0,requestedSUPERTRIMMED_spaced,AD 34600 - Italian Renaissance Art ,300 a studi of the develop of the and minor theme and form in itali from 1300 ad until 1525 ad emphas the achiev of master and analyz the theori of contemporari,italian
1,requestedSUPERTRIMMED_spaced,ITAL 10100 - Italian Level I ,300 a begin italian with emphasi on commun skill listen and speak literaci read and write and cultur,italian
2,requestedSUPERTRIMMED_spaced,ITAL 10500 - Accelerated Basic Italian ,300 an acceler basic italian that substitut for ital 10100 and ital 10200 knowledg of a foreign languag requir,italian
3,requestedSUPERTRIMMED_spaced,ITAL 11100 - Italian Conversation I ,100 basic develop of oral skill guid practic in convers to enhanc commun compet small group discuss in italian on practic topic be taken concurr with italian level i,italian
4,requestedSUPERTRIMMED_spaced,ITAL 11200 - Elementary Italian Conversation ,100 develop of oral skill for selfexpress guid practic in convers to enhanc commun compet small group discuss in italian on variou topic,italian
5,requestedSUPERTRIMMED_spaced,ITAL 20200 - Italian Level IV ,300 an intermedi italian with emphasi on commun skill listen and speak literaci skill read and write and cultur,italian
6,requestedSUPERTRIMMED_spaced,ITAL 20500 - Accelerated Intermediate Italian ,300 an acceler secondyear italian with focu on further the develop of listen read speak and write abil at the intermedi level,italian
7,requestedSUPERTRIMMED_spaced,ITAL 21200 - Intermediate Italian Conversation ,100 develop of oral skill for selfexpress guid practic in italian convers to enhanc commun compet small group discuss in italian on variou topic not to enrol in or have for ital 30100 or abov,italian
8,requestedSUPERTRIMMED_spaced,ITAL 28000 - Italian Culture And Civilization ,300 focus on salient aspect of italian cultur and civil from the middl age to the present in english,italian
9,requestedSUPERTRIMMED_spaced,ITAL 28100 - The Italian Renaissance And Its Scientific And Cultural Impact On Western Civilization ,300 thi introduc to the most import cultur and scientif write of the italian renaiss and show the pivot influenc of the renaiss on the develop of western civil as a whole class and read entir in english no knowledg of italian need,italian
10,requestedSUPERTRIMMED_spaced,ITAL 30100 - Italian Level V ,300 continu develop of italian speak listen read and write abil use materi deal primarili with everyday life and civil in itali from a varieti of sourc eg newspap magazin tv recent literatur etc conduct primarili in italian,italian
11,requestedSUPERTRIMMED_spaced,ITAL 30200 - Italian Level VI ,300 further work to develop speak listen read and write abil in italian on the basi of materi deal with the idea and event that have shape presentday itali conduct primarili in italian,italian
12,requestedSUPERTRIMMED_spaced,ITAL 31200 - Advanced Italian Conversation ,100 advanc italian convers focus on the develop of oral and aural skill for selfexpress provid with guid practic in convers to enhanc commun compet discuss in italian on variou topic be taken concurr with ital 30100 ital 30200 ital 34100 and ital 34200,italian
13,requestedSUPERTRIMMED_spaced,ITAL 33000 - The Italian Cinema ,300 the develop and evolut of italian cinema after world war the class will center on the view and discuss of film and will survey a broad spectrum of director and style knowledg of italian not requir,italian
14,requestedSUPERTRIMMED_spaced,ITAL 33300 - The Spirit Of Italian Comedy ,300 thi explor variou type of italian comedi focus on theater and cinema particular emphasi will be given to renaiss theater commedia dellart goldoni pirna dello dario fo and to the gener of italian comedian in english,italian
15,requestedSUPERTRIMMED_spaced,ITAL 34100 - Italian Literature I: From The Middle Ages To The Enlightenment ,300 thi is the first of a twosemest sequenc present an overview of italian literatur will read and discuss author and text and will write critic essay on literari topic read discuss and paper in italian,italian
16,requestedSUPERTRIMMED_spaced,ITAL 34200 - Italian Literature II: From Romanticism To The Present ,300 thi is the second of a twosemest sequenc present an overview of italian literatur will read and discuss author and text and will write critic essay on literari topic read discuss and paper in italian,italian
17,requestedSUPERTRIMMED_spaced,ITAL 39300 - Special Topics In Italian Literature Or Cinema ,300 thi will focu on particular aspect of italian literatur cinema or cultur no knowledg of italian requir,italian
18,requestedSUPERTRIMMED_spaced,ITAL 39400 - Special Topics In Italian Literature ,300 thi studi a particular aspect in italian literatur eg a theme devic charact type motif place by read a vari select of work of differ genr style period read discuss and paper in italian,italian
19,requestedSUPERTRIMMED_spaced,ITAL 39900 - Special Study Abroad Credit It Italian ,100 to 400 thi number is for after the fact of in italian earn while enrol at a foreign univers on a studi abroad program which cannot be appropri accommod under an establish purdu number it is not for for cours at or conduct by purdu,italian
20,requestedSUPERTRIMMED_spaced,ITAL 49300 - Advanced Topics In Italian Literature Or Cinema ,300 thi will analyz in depth particular aspect of italian literatur cinema or cultur no knowledg of italian,italian
21,requestedSUPERTRIMMED_spaced,ITAL 59000 - Directed Reading In Italian ,100 to 400 direct read in italian permiss of requir,italian
